District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP
D,BENGALURU URBAN,846,1456,72
T,Anekal,902,1427,58
H,Anekal_1,902,1387,54
H,Attibele_1,824,1215,48
H,Jigani_1,845,1445,71
H,Sarjapura_1,748,1438,92
H,Anekal_2,881,1473,67
H,Jigani_2,865,1625,88
H,Attibele_2,857,1418,66
H,Sarjapura_1,855,1507,76
H,Sarjapura_3,814,1225,51
T,Bengaluru North,1004,1383,38
H,Bengaluru North_1,1004,1401,39
H,Dasanapura_1,896,1407,57
H,Yashavantapura_1,819,1249,53
H,Bengaluru North_2,854,1254,47
H,Yashavantapura_2,866,1369,58
H,Dasanapura_2,872,1443,65
H,Dasanapura_3,900,1428,59
T,Bengaluru South,820,1495,82
H,Beguru_3,820,1477,80
H,Kengeri_1,905,1581,75
H,Tavarekere_1,734,1586,116
H,Uttarahalli_4,905,1608,78
H,Uttarahalli_1,886,1349,52
H,Uttarahalli_2,872,1531,76
H,Uttarahalli_3,863,1628,89
H,Uttarahalli_5,941,1331,41
H,Beguru_1,912,1438,58
H,Beguru_2,875,1371,57
H,Kengeri_2,878,1580,80
H,Kengeri_3,860,1434,67
H,Kengeri_4,852,1547,82
H,Tavarekere_2,961,1336,39
H,Tavarekere_3,871,1555,79
T,Bengaluru East,815,1424,75
H,Mahadevpura_1,815,1104,35
H,Bidarahalli_2,828,1320,59
H,Varturu_1,818,1589,94
H,K R Pura_2,855,1229,44
H,K R Pura_3,827,1407,70
H,Varturu_2,881,1398,59
H,Bidarahalli_1,821,1450,77
H,Mahadevapura_2,882,1134,29
H,Marathahalli,891,1839,106
H,Bidharahalli_3,799,1612,102
T,Yelahanka,752,1543,105
H,Yelahanka_1,752,1548,106
H,Yelahanka_2,785,1279,63
H,Yelahanka_3,801,1307,63
H,Jala_1,760,1583,108
H,Jala_2,763,1581,107
H,Jala_3,781,1586,103
H,Hesarughatta_1,746,1481,99
H,Hesarughatta_2,781,1668,114
D,BENGALURU RURAL,798,1498,88
T,Devanahalli,808,1505,86
H,Devanahalli,808,1398,73
H,Channarayapatna,796,1656,108
H,Kundana,786,1445,84
H,Vijaypura,787,1556,98
T,DODDABALLAPURA,799,1581,98
H,Dodballapur,799,1490,87
H,Dodda Belavangala,792,1670,111
H,Madure,812,1684,107
H,Sasalu,709,1537,117
H,Tubagere,787,1559,98
T,HOSAKOTE,857,1349,57
H,Hosakote,857,1257,47
H,Anugondhalli,731,1315,80
H,Jadigenhalli,796,1431,80
