District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP
H,Nandagudi,777,1235,59
H,Sulibele,803,1491,86
T,Nelamangala,954,1516,59
H,Nelamangala,954,1468,54
H,Sompura,794,1417,79
H,Tyamagondal,877,1652,88
H,Nelamangala_2,891,1460,64
H,Sompura_2,827,1444,75
H,Tyamagondal_2,870,1707,96
D,RAMANAGARA,840,1512,80
T,Channapatna,861,1581,83
H,Channapatna,861,1661,93
H,Maluru,843,1521,80
H,Virupakshipura,843,1582,88
T,Kanakapura,797,1438,81
H,Kanakapura,797,1580,98
H,Dodda Maralavadi,828,1656,100
H,Harohalli,845,1725,104
H,Kodihalli,802,1354,69
H,Satnuru,798,1400,75
H,Uyyamballi,792,1114,41
T,Magadi,1000,1546,55
H,Magadi,1000,1542,54
H,Kuduru,841,1734,106
H,Madabal,968,1493,54
H,Solur,881,1491,69
H,Tippasanara,822,1469,79
T,Ramanagara,921,1590,73
H,Ramanagara_1,921,1649,79
H,Bidadi,865,1683,94
H,Kailancha,867,1580,82
H,Kutgallu,887,1442,63
H,Ramanagara_2,889,1618,82
H,Kailancha_2,872,1518,74
D,KOLAR,735,1250,70
T,Bangarapet,764,1283,68
H,Bangarapet,764,1340,75
H,Budikote,687,1207,76
H,Kamsandra,778,1262,62
H,Robertsonpet,818,1334,63
T,Kolar,784,1334,70
H,Kolar,784,1390,77
H,Holuru,745,1363,83
H,Huttur,768,1294,68
H,Narasapura,753,1238,64
H,Sugaturu,763,1190,56
H,Vakkaleri,738,1458,98
H,Rajakallahalli Vemagal,758,1331,76
T,Malur,798,1495,87
H,Malur,798,1464,83
H,Lakkur,529,1504,184
H,Masathi,633,1572,149
H,Tyakal,649,1449,123
T,MULABAGILU,804,1142,42
H,Mulbagal,804,1058,32
H,Avani,775,1249,61
H,Bairakur,734,1156,57
H,Duggasandra,753,1077,43
H,Tayilur,708,1158,64
T,Srinivasapura,758,1127,49
H,Srinivasapura,758,1186,57
H,Nelavanki,664,1233,86
H,Ronuru,711,1102,55
H,Rayalpadu,639,1050,64
H,Yelldur,710,1084,53
T,K.G.F,890,1105,24
H,Betamangala,797,1075,35
H,Kyasamballi,785,1129,44
H,Robertsonpet,890,1094,23
D,CHIKKABALLAPURA,736,1134,54
T,Bagepalli,695,958,38
H,Bagepalli,695,1025,47
H,Chelur,706,941,33
H,Guluru,696,892,28
H,Mittemari,715,1112,56
H,Pathapalya,701,886,26
T,CHIKKABALLAPURA,828,1251,51
H,Chikballapura,828,1232,49
H,Mandikal,723,1234,71
H,Nandi,808,1286,59
T,Chintamani,787,1011,28
H,Chintamani,787,1198,52
H,Ambajidurga,768,1052,37
H,Chilakalanerpu,722,863,20
H,Kaiwara,736,1208,64
H,Munganahalli,730,768,5
H,Murugamale,749,1099,47
T,Gauribidanur,704,1370,95
H,Gauribidanur,704,1310,86
H,D.Palya,713,1456,104
H,Hosur,709,1359,92
H,Manchenahalli,786,1383,76
H,Nagaragere,695,1184,70
H,Tondebavi,758,1559,106
T,Gudibanda,694,1120,61
H,Gudibanda,694,1214,75
H,Somenahalli,728,1018,40
T,Sidlaghatta,763,1121,47
H,Sidlaghatta,763,1121,47
H,Bashattahalli,765,1046,37
H,Jangamakote,776,1311,69
H,Sadali,735,1031,40
D,TUMAKURU,669,1358,103
T,CHIKKANAYAKANAHALLI,761,1210,59
H,Chiknayakanahalli,761,1272,67
H,Handanakere,595,1047,76
H,Huliyaru,504,1200,138
H,Kandikere,610,1344,121
H,Shettikeri,700,1279,83
T,Gubbi,809,1500,85
H,Gubbi,809,1615,100
H,Chandrashekerapura,692,1574,128
H,Chelur,729,1488,104
H,Hagalavadi,655,1307,100
H,Kadaba,787,1604,104
H,Nittur,789,1502,90
T,Koratagere,777,1487,91
H,Koratagere,777,1444,86
H,Chennarayadurga,787,1601,104
H,Holanahalli,768,1439,87
H,Kolala,720,1437,100
T,Kunigal,825,1546,87
H,Kunigal,825,1647,100
H,Amrutur,675,1523,126
H,Huliyurudurga,741,1427,92
H,Huttariduraga,799,1544,93
H,Kottagere,752,1541,105
H,Yedeyur,669,1657,148
T,Madhugiri,730,1397,91
H,Madhugiri,730,1492,104
H,Dodderi,594,1537,159
H,Itakadibbanahalli,616,1332,116
H,Kodigenahalli,632,1207,91
H,Midigesi,553,1373,148
H,Puravara,674,1389,106
T,Pavagada,611,1142,87
H,Pavagada,611,1158,89
H,Nagalamadike,588,991,69
H,Nidagal,518,1341,159
H,Yellappanayakana Hosakote,532,1133,113
T,Sira,638,1157,81
H,Sira,638,1161,82
H,Bukkaptna,579,1022,77
H,Gowdagere,581,1232,112
H,Hulikunta,506,1207,139
H,Kallambella,606,1214,100
T,Tiptur,731,1332,82
H,Tiptur,731,1227,68
H,Honnavalli,705,1243,76
H,Kibbanahalli,607,1401,131
H,Nonavinakere,720,1501,109
T,Tumakuru,830,1552,87
H,Tumakuru North,830,1635,97
H,Bellavi,788,1611,104
H,Guluru,869,1551,79
H,Hebbur,678,1445,113
H,Uradigere,682,1500,120
H,Kora,788,1670,112
H,Tumakuru East,844,1614,91
H,Tumakuru West,839,1454,73
H,Tumakuru South,846,1494,77
T,Turuvekere,772,1490,93
H,Turuvekere,772,1401,81
H,Dabbegatta,605,1414,134
H,Dandinasivara,707,1418,100
H,Mayasandra,657,1678,155
D,CHITRADURGA,540,839,55
T,Challakere,485,757,56
H,Challakere,485,626,29
H,Nayakanahatti,428,671,57
H,Parasurampura,410,932,127
H,Thalku,392,774,98
T,Chitradurga,666,883,33
H,Chitradurga,666,898,35
H,Bharmasagara,601,942,57
H,Hire Guntanur,576,839,46
H,Turuvanur,581,827,42
T,Hiriyur,578,848,47
H,Hiriyur,578,1006,74
H,Aymangala,517,753,46
H,Dharmapura,481,838,74
H,Javanagondanahalli,562,859,53
T,Holalkere,722,849,18
H,Holalkere,722,767,6
H,Bharmanaikanadurga,648,844,30
H,Ramagiri,535,890,66
H,Talya,650,877,35
T,Hosadurga,648,1041,61
H,Hosadurga,648,991,53
H,Madadhakeri,573,987,72
H,Mathodu,580,1036,79
H,Srirampura,564,1174,108
T,Molakalmuru,545,560,3
H,Molakalmuru,545,535,-2
H,Devasamudra,400,587,47
D,DAVANAGERE,659,1162,76
T,Channagiri,840,1214,45
H,Channagiri,840,1221,45
H,Basavapatna_1,703,1281,82
H,Basavapatna_2,682,1161,70
H,Santebannur_1,710,1077,52
H,Santebannur_2,741,1171,58
H,Ubrani,752,1279,70
T,Davanagere,641,1175,83
H,Davangere,641,1081,69
H,Anogodu,599,1190,99
H,Mayakonda,639,1266,98
T,HARIHARA,630,1087,73
H,Harihara,630,1040,65
H,Malebennur,586,1125,92
T,Honnali,662,1285,94
H,Honnali,662,1217,84
H,Govinakovi_2,667,1181,77
H,Sasavehalli_1,719,1509,110
H,Sasavehalli_2,640,1204,88
T,Jagalur,528,968,83
H,Jagalur,528,883,67
H,Bilichodu,504,1103,119
H,Sokke,574,948,65
T,Nyamati,826,1394,69
H,Belagutti,826,1404,70
H,Govinakovi_1,710,1365,92
D,CHAMARAJANAGARA,787,1159,47
T,CHAMARAJANAGARA,770,1444,88
H,Chamarajanagara,770,1442,87
H,Chandakavadi,793,1644,107
H,Haradanhalli,774,1390,79
H,Harve,752,1179,57
H,Santemarahalli,838,1441,72
T,Gundlupet,792,1160,46
H,Gundlupet,792,974,23
H,Begur,648,1230,90
H,Terakanambi,766,1238,62
H,Hangala,784,1173,50
T,Kollegal,843,1110,32
H,Kollegala,843,1195,42
H,Palya,802,1066,33
T,Yelandur,867,1398,61
H,Yelandur,867,1421,64
H,Agara,771,1387,80
T,Hanur,754,993,32
H,Hanur,754,996,32
H,Lokkanahalli,781,1040,33
H,Ramapura,811,978,21
D,MYSURU,837,1318,57
T,HEGGADADEVANAKOTE,837,1391,66
H,Heggadadevanakote,837,1423,70
H,Antarasante,1031,1427,38
H,Hampapura,764,1247,63
T,Hunsur,799,1318,65
H,Hunsur,799,1355,69
H,Bilikere,764,1228,61
H,Gowdargyare,767,1282,67
H,Hanagoadu,976,1381,41
T,Krishnarajanagar,735,1400,91
H,Krishnarajanagar,735,1232,68
H,Chanachanakatte,698,1318,89
H,Hebbalu,721,1385,92
H,Hasa Agrahar,682,1454,113
H,Mirale,690,1657,140
H,Saligram,662,1451,119
T,Mysuru,810,1356,67
H,Mysuru,810,1358,68
H,Elivala,757,1257,66
H,Jayapura,774,1405,82
H,Varuna,738,1383,87
T,Nanjanagud,730,1240,70
H,Nanjangud,730,1237,69
H,Biligere,726,1308,80
H,Chikkayyana Chattra,732,1399,91
H,Hullahalli,788,1196,52
H,Doddakowlande,731,1155,58
T,Periyapatna,852,1296,52
H,Periyapatna,852,1369,61
H,Bettadpur,770,1300,69
H,Haranahalli,957,1356,42
H,Ravanduru,810,1104,36
T,T.NARASIPURA,738,1345,82
H,T.Narasipur,738,1398,89
H,Bannur,721,1481,105
H,Muguru,781,1296,66
H,Sosale,738,1316,78
H,Talakad,777,1241,60
T,Saraguru,949,1183,25
H,Saraguru,949,1172,23
H,B.Matakere,937,1192,27
D,MANDYA,699,1484,112
T,Krishnarajapet,747,1520,103
H,Krishnarajapet,747,1455,95
H,Akkihebalu,699,1613,131
H,Bukanakere,700,1376,97
H,Kikkeri,719,1452,102
H,Santebachahalli,652,1650,153
H,Silanare,698,1592,128
T,Maddur,767,1479,93
H,Madduru_2,767,1637,113
H,Koppa_2,883,1594,80
H,Chikkaarasinakere_1,753,1481,97
H,Autaguru,779,1467,88
H,Madduru_1,758,1540,103
H,Koppa_2,739,1368,85
H,Koppa_1,832,1420,71
H,Koppa_3,769,1608,109
H,Chikaarasinakere_2,742,1227,65
H,Chikaarasinakere_3,734,1404,91
T,Malavalli,703,1383,97
H,Malavalli_1,703,1260,79
H,Halaguru,799,1499,88
H,Kirgavalu_1,719,1559,117
H,B G Pura_2,778,1334,71
H,Malavalli_2,748,1489,99
H,Malavalli_3,772,1139,47
H,Kirgavalu_2,721,1492,107
H,Kirgavalu_3,719,1338,86
H,B G Pura_1,773,1172,52
T,Mandya,699,1646,135
H,Mandya_1,699,1524,118
H,Basaralu_1,610,1737,185
H,Dudda_1,649,1641,153
H,Keragodu_1,735,1865,154
H,Kottatti_1,697,1406,102
H,Mandya_2,737,1694,130
H,Kottatti_2,709,1571,121
H,Keragodu_2,747,1808,142
H,Dudda_2,681,1551,128
H,Basaralu_2,796,1649,107
T,Nagamangala,765,1460,91
H,Nagamangala,765,1479,93
H,Belluru,520,1737,234
H,Bendaganavele,556,1399,152
H,Devalapura,692,1367,98
H,Honakere,465,1335,187
T,Pandavapura,679,1464,115
H,Pandavapura_1,679,1504,121
H,Chinkurali,684,1390,103
H,Melukote,702,1561,122
H,Pandavapura_2,660,1405,113
T,Srirangapatna,638,1421,123
H,Srirangapatna,638,1463,129
H,Arakere,701,1462,109
H,Belagola,748,1241,66
H,K Shettihalli_2,650,1496,130
H,K Shettihalli_1,643,1370,113
D,BALLARI,599,795,33
T,Ballari,516,639,24
H,Ballari,516,403,-22
H,Moka,524,787,50
H,Rupanagudi,505,755,50
H,Koluru,525,733,40
T,KUDLIGI,590,827,40
H,Kudligi,590,915,55
H,Gudekote,521,824,58
H,Hosahalli,504,840,67
T,Sandur,819,809,-1
H,Sandur,819,887,8
H,Choranuru,627,897,43
H,Toranagallu,612,644,5
T,Siruguppa,675,820,22
H,Siruguppa,675,824,22
H,Hachcholli,655,754,15
H,Karuru,563,903,60
H,Tekkalakote,630,806,28
T,Kurugodu,499,814,63
H,Kurugodu,499,831,66
H,Koluru,514,791,54
D,KOPPALA,614,744,21
T,Gangavathi,583,708,21
H,Gangavathi,583,746,28
H,Marali,571,723,27
H,Venkatagiri,586,631,8
T,KOPPALA,635,762,20
H,Koppal,635,836,32
H,Alawandi,587,690,18
H,Hitnal,640,741,16
H,Irkalgada,627,749,19
T,Kushtagi,597,715,20
H,Kushtagi,597,784,31
H,Hanumanhal,658,794,21
H,Hanamsagar,627,595,-5
H,Tavaragera,591,758,28
T,Yelburga,597,797,34
H,Yelburga,597,776,30
H,Hire Wankalkunti,595,831,40
T,Karatagi,640,722,13
H,Karatgi,640,670,5
H,Siddapur,593,770,30
T,Kukanuru,693,756,9
H,Kukanoor,693,761,10
H,Manglur,630,761,21
T,Kanakagiri,525,700,33
H,Kanakagiri,525,638,21
H,Hulihaider,558,642,15
H,Nauli,595,840,41
D,RAICHUR,654,805,23
T,Deodurga,759,758,0
H,Devadurga,759,811,7
H,Arakeri,658,800,22
H,Gabbur,683,781,14
H,Jalihalli,690,754,9
T,Lingsugur,631,896,42
H,Lingasuguru,631,847,34
H,Gurgunta,622,930,50
H,Mudgal,624,881,41
T,Manvi,652,835,28
H,Manvi,652,856,31
H,Hire Katankal,644,840,30
H,Kurdi,663,856,29
T,Raichur,736,663,-10
H,Raichur,736,809,10
H,Chandrabanda,733,617,-16
H,Devarsugur,723,701,-3
H,Gilasuguru,610,619,2
H,Kalmali,678,734,8
H,Yergara,763,835,10
T,Sindhanur,691,748,8
H,Sindhanur,691,708,2
H,Badarli,663,774,17
H,Gorebal,649,741,14
H,Gunjihalli,634,730,15
H,Hadganhal,655,733,12
H,Huda,650,714,10
H,Jalihal,638,787,23
H,Jawalgeri,656,776,18
H,Kunatgi,660,747,13
H,Salgundi,660,737,12
H,Turvihal,627,755,20
H,Walkamdinni,645,701,9
T,Maski,558,881,58
H,Maski,558,872,56
H,Halapur,586,927,58
H,Pamankallur,601,845,40
H,Balganur,598,995,67
H,Gunjihalli,609,781,28
H,Turvihal,603,823,36
H,Gudadur,573,843,47
H,Lingsugur,592,815,38
T,Sirivara,589,816,39
H,Sirwar,589,898,53
H,Kallur,671,758,13
H,Mallat,624,802,28
H,Kavital,622,827,33
D,KALABURAGI,770,847,10
T,Afzalpur,692,762,10
H,Afzalpur,692,709,3
H,Atanur,707,771,9
H,Karajgi,664,776,17
T,Aland,763,874,15
H,Aland,763,884,16
H,Khajuri,757,933,23
H,Madana Hipparga,735,889,21
H,Narona,766,818,7
H,Nimbarga Tanda,761,876,15
T,Chincholi,913,879,-4
H,Chincholi,913,946,4
H,Ainapur,783,721,-8
H,Sulepet,874,822,-6
H,Kodli Chincholi,896,797,-11
T,CHITTAPUR,771,887,15
H,Chittapur,771,883,14
H,Gundgurti,777,833,7
H,Nalavara,791,918,16
T,Kalaburagi,794,837,5
H,Kalaburagi,794,861,8
H,Aurad,777,849,9
H,Farhatabad,779,793,2
H,Pattan,772,924,20
T,Jevargi,805,821,2
H,Jewargi,805,807,0
H,Andola,792,911,15
H,Nelogi,753,712,-5
T,Sedam,791,911,15
H,Sedam,791,984,24
H,Adki,807,938,16
H,Kodla,799,762,-5
H,Mudhol,807,1018,26
T,Kalagi,766,891,16
H,Kalagi,766,934,22
H,Kodli,774,829,7
H,Gundgurti,773,835,8
T,Kamalapura,762,915,20
H,Kamalapur,762,956,25
H,Mahagaon Tanda,772,914,18
H,Narona,770,924,20
H,Ainapur,780,821,5
T,Yadrami,687,723,5
H,Yadrami,687,707,3
H,Ijeri,750,765,2
T,Shahbadha,758,864,14
H,Shahabad,758,851,12
D,BIDAR,838,952,14
T,Aurad,854,1066,25
H,Aurad,854,1006,18
H,Chintaki,872,1109,27
H,Santpur,874,1082,24
T,Bidar,939,994,6
H,Bidar,939,954,2
H,Bagadhal,843,838,-1
H,Bidar South,935,819,-12
H,Janwada,909,1157,27
H,Kamthana,906,1120,24
H,Manalli,890,891,0
T,Bhalki,874,1019,17
H,Bhalki,874,1065,22
H,Halburga,875,1154,32
H,Khatak Chincholi,833,1027,23
H,Lakangaon,877,1004,15
H,Nittur Buzurg,873,1079,24
H,Saigaon,769,854,11
T,Basavakalyan,790,921,17
H,Basavakalyan,790,789,0
H,Kohinoor,775,992,28
H,Matala,787,980,25
H,Mudabi,779,918,18
H,Rajeshwar,813,835,3
T,Humnabad,834,876,5
H,Humnabad,834,902,8
H,Dubalgundi,822,936,14
H,Hallikheda,827,720,-13
T,Chittaguppa,759,795,5
H,Chitguppa,759,837,10
H,Bhimalkhed,838,830,-1
H,Nirna,794,678,-15
T,Kamalanagara,902,992,10
H,Kamalnagar,902,947,5
H,Dabaka C.,877,980,12
H,Thanakushanur,873,1080,24
T,Hulasuru,739,857,16
H,Hulsoor,739,871,18
D,BELAGAVI,826,1194,45
T,Athani,539,796,48
H,Athani,539,758,41
H,Anantapur,517,820,59
H,Telsang,507,806,59
T,Bailhongal,816,1038,27
H,Bailhongal,816,1023,25
H,Nesargi,771,1063,38
T,Belagavi,1363,1360,0
H,Belagavi,1363,1328,-3
H,Hirebagevadi,1041,1144,10
H,Kakti,1131,1200,6
H,Uchagaon,1341,1783,33
T,Chikkodi,666,998,50
H,Chikkodi,666,1071,61
H,Nagaramonnali,634,967,53
H,Sadalgi,663,963,45
T,Gokak,524,908,73
H,Gokak,524,895,71
H,Kowjalgi,537,942,75
H,Arbhavi,560,858,53
T,Hukkeri,649,1016,57
H,Hukkeri,649,967,49
H,Sankeswar,812,1131,39
H,Yamkanmardi,685,1001,46
T,Khanapur,1950,2471,27
H,Khanapur,1950,1653,-15
H,Bidi,1413,1672,18
H,Gunji,2263,2575,14
H,Jamboti,1856,3122,68
T,RAMADURGA,540,953,76
H,Ramdurg,540,1059,96
H,Bidki,534,898,68
H,Katkol,536,965,80
H,Mudkavi,543,981,81
T,Raibagh,483,963,99
H,Raibagh,483,979,103
H,Kudchi,529,965,82
T,Soundatti,568,947,67
H,Savadatti,568,990,74
H,Manoli,562,963,71
H,Muragoda,607,945,56
H,Yargatti,533,901,69
T,Kitthuru,1036,1292,25
H,Kittur,1036,1291,25
T,Nippani,838,1290,54
H,Nippani,838,1348,61
H,Sadalgi,767,1181,54
T,Kagavada,541,892,65
H,Kagwad,541,862,59
T,Mudagali,534,917,72
H,Arbhavi,534,937,76
H,Kowjalgi,529,933,77
D,BAGALKOTE,582,807,39
T,Badami,600,945,58
H,Badami,600,922,54
H,Kerur,570,964,69
H,Kulgeri,583,1091,87
T,Bagalkote,613,723,18
H,Bagalkote,613,644,5
H,Kaladgi,548,802,46
H,Rampura,612,712,16
T,Bilgi,609,792,30
H,Bilgi,609,791,30
H,Anagvadi,599,724,21
T,Hungund,670,750,12
H,Hungund,670,729,9
H,Amingarh,633,812,28
H,Karadi,652,759,16
T,Jamkhandi,548,781,42
H,Jamakhandi,548,843,54
H,Savalagi,530,800,51
H,Terdal,543,879,62
T,Mudhol,532,822,55
H,Mudhol,532,766,44
H,Lokapur,473,840,78
T,Guledagudda,607,871,44
H,Guledagudda,607,846,39
T,Ilkal,651,769,18
H,Ilkal,651,699,7
H,Amingarh,636,937,47
H,Karadi,654,785,20
T,Rabakavi Banahatti,496,857,73
H,Terdal,496,853,72
H,Mudhol,550,885,61
D,VIJAYAPURA,591,760,29
T,BAGEVADI,669,710,6
H,Basavana Bagewadi,669,820,23
H,Huvin Hippargi,647,729,13
H,Managuli,608,643,6
T,Vijayapura,671,717,7
H,Vijayapura,671,675,1
H,Nagathan,392,798,103
T,Indi,620,697,12
H,Indi,620,672,8
H,Ballolli,563,722,28
T,Muddebihal,652,794,22
H,Muddebihal,652,820,26
H,Dhavalagi,638,703,10
H,Nalatvad,691,838,21
T,Sindgi,658,702,7
H,Sindhagi,658,742,13
H,Almel,646,659,2
T,Babaleshwara,545,770,41
H,Babaleshwar,545,854,57
H,Mamdapur,569,767,35
T,Chadachana,552,907,64
H,Chadchan,552,881,59
T,Nidagundi,616,766,24
H,Nidagundi,616,689,12
H,Basavana Bagewadi,631,769,22
H,Huvin Hipprgi,629,846,35
H,Muddebihal,615,684,11
H,Dhavalagi,624,731,17
T,Talikote,586,858,47
H,Talikoti,586,873,49
H,Devarhipargi,597,957,60
H,Dhavalagi,612,790,29
H,Huvinhippargi,603,777,29
T,Tikota,406,728,79
H,Tikota,406,791,95
T,Kolhara,606,786,30
H,Kolhar,606,789,30
T,Devara Hipparagi,630,764,21
H,Devar Hipparagi,630,770,22
H,Huvinhiprgi,625,534,-15
D,GADAG,624,995,60
T,Gadag,659,990,50
H,Gadag,659,1034,57
H,Betageri,655,972,48
T,Mundargi,557,963,73
H,Mundargi,557,808,45
H,Dambal,462,1065,131
T,Naragund,557,893,60
H,Naragund,557,948,70
H,Konnur,583,826,42
T,Ron,699,950,36
H,Ron,699,938,34
H,Hole Alur,623,747,20
H,Nargil,668,1110,66
T,Shirahatti,689,1159,68
H,Shirahatti,689,1160,68
T,Gajendragad,737,920,25
H,Rona,737,965,31
H,Nargil,660,868,32
T,Laxmeshwar,594,1126,90
H,Laxmeshwar,594,1160,95
D,HAVERI,800,1023,28
T,Byadgi,679,966,42
H,Byadgi,679,904,33
H,Kaginelli,797,1021,28
T,Hanagal,1044,1185,14
H,Hangal,1044,1204,15
H,Akki Alur,1067,1170,10
H,Bommanhalli,1024,1102,8
T,Haveri,778,932,20
H,Haveri,778,990,27
H,Guttal,619,880,42
H,Karajgi,732,905,24
T,Hirekerur,856,1075,26
H,Hirekerur,856,926,8
H,Haunsbhavi,918,1141,24
T,RANEBENNUR,623,1072,72
H,Ranebennur,623,1068,72
H,Kuppelur,708,1173,66
H,Medleri,651,969,49
T,Savanur,699,1044,49
H,Savanur,699,986,41
H,Hatti Mattur,717,983,37
T,Shiggaon,814,1004,23
H,Shiggaon,814,982,21
H,Bankapur,808,984,22
H,Dhundsi,955,1053,10
T,Ratteehalli,790,921,17
H,Rattihalli,790,926,17
H,Hirekerur,830,848,2
D,DHARWAD,787,1051,34
T,Dharwad,777,1016,31
H,Dharwad,777,1050,35
H,Aminbhavi,792,1035,31
H,Garag,908,1040,14
T,Hubballi,772,1117,45
H,Chabbi,772,1065,38
H,Shirguppi,699,1209,73
T,Kalghatgi,979,1155,18
H,Kalghatgi,979,1145,17
H,Dummavada,852,1155,36
H,Tabkad Honnihalli,965,1179,22
T,Kundgol,661,1093,65
H,Kundgol,661,980,48
H,Saunshi,696,1226,76
T,Navalgund,631,812,29
H,Moraba,631,842,34
T,Hubballi Nagara,746,911,22
H,Hubballi Urban,746,917,23
T,Alnavara,1267,1321,4
H,Alnavar,1267,1307,3
T,Annigeri,651,1016,56
H,Annigeri,651,1037,59
D,SHIVAMOGGA,2325,2439,5
T,Bhadravathi,866,1345,55
H,Bhadravathi_1,866,1517,75
H,Bhadravathi_2,936,1507,61
H,Hole Honnuru_1,883,1333,51
H,Hole Honnuru_3,846,1243,47
H,Hole Honnuru_2,800,1392,74
H,Kudligere,882,1330,51
T,HOSANAGARA,3071,3234,5
H,Hosanagar,3071,3223,5
H,Huncha,2490,2829,14
H,Kerehalli,1764,2084,18
H,Nagar,5205,4066,-22
T,SAGARA,2495,3196,28
H,Sagar,2495,2150,-14
H,Anandapuram,1702,2103,24
H,Baragadde,4040,3865,-4
H,Anahalli,2692,3328,24
H,Karauru,4154,4101,-1
H,Talguppa,2710,2544,-6
T,SHIKARIPURA,975,1356,39
H,Shikaripur,975,1544,58
H,Anjanapura,1171,1326,13
H,Husuru,861,1231,43
H,Udagani,1037,1368,32
H,Talagunda,1050,1420,35
T,Shivamogga,842,1507,79
H,Shivamogga_2,842,1411,68
H,Shivamogga_1,1150,1626,41
H,Haranahalli,1037,1399,35
H,Holalur_1,843,1310,56
H,Holalur_2,913,1362,49
H,Kumsi,984,1618,64
H,Nidige_1,951,1579,66
H,Nidige_2,1193,1518,27
H,Ayanuru,1043,1792,72
T,SORABA,1541,1909,24
H,Sorab,1541,1725,12
H,Anavatti,1261,1527,21
H,Chandragutti,2332,2315,-1
H,Jade,1478,1748,18
H,Kuppagadde,1417,1640,16
H,Ulvi,1895,2032,7
T,Tirthahalli,2867,3153,10
H,Thirthahalli,2867,3031,6
H,Agrahara,2713,2832,4
H,Agumbe,7565,4670,-38
H,Mandagadde,1690,2234,32
H,Malur,2579,2869,11
D,HASSAN,1142,1701,49
T,Alur,1149,1483,29
H,Alur,1149,1307,14
H,Kenchamman Hoskota,1814,1914,6
H,Kundur,1136,1266,11
H,Palya,1581,1513,-4
T,ARKALGUD,885,1366,54
H,Arkalgud,885,1373,55
H,Doddamagge,899,1468,63
H,Konanuru,797,1523,91
H,Mallipatna,1246,1515,22
H,Ramanathapura,830,1470,77
T,ARASIKERE,696,982,41
H,Arasikere,696,986,42
H,Banavara,564,1212,115
H,Gandasi,661,1107,68
H,Javagal,934,1042,12
H,Kanakatte,595,1059,78
T,Belur,1021,1532,50
H,Belur,1021,1585,55
H,Arehalli,1790,2290,28
H,Bikkodu,1213,1637,35
H,Halebeedu,1305,1208,-7
H,Madihalli,2378,1185,-50
T,Channarayapatna,690,1342,95
H,Channarayapatna,690,1595,131
H,Baguru,779,1318,69
H,Dandiganahalli,692,1259,82
H,Hirisave,768,1573,105
H,Nuggehalli,669,1598,139
H,Shravan Belgola,733,1592,117
T,Hassan,846,1289,52
H,Hassan,846,1316,56
H,Dudda,652,1245,91
H,Kattya,693,1424,106
H,Salagame,816,1309,60
H,Shantigrama,661,1423,115
T,HOLENARASIPURA,768,1398,82
H,Holenarasipur,768,1524,98
H,Halekote,778,1374,77
H,Halli Mysore,767,1455,90
T,SAKALESHPURA,2247,3522,57
H,Sakaleshpur,2247,2970,32
