District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP
T,Hassan,846,1028,22
H,Hassan,846,1045,24
H,Dudda,652,999,53
H,Kattya,693,1002,45
H,Salagame,816,1069,31
H,Shantigrama,661,1014,53
T,HOLENARASIPURA,768,948,23
H,Holenarasipur,768,933,21
H,Halekote,778,1068,37
H,Halli Mysore,767,878,15
T,SAKALESHPURA,2247,2947,31
H,Sakaleshpur,2247,2331,4
H,Balegodu,1790,1600,-11
H,Hanbalu,2377,3479,46
H,Hettur,2218,3316,49
H,Yaslur,1783,2908,63
D,CHIKKAMAGALURU,1833,2070,13
T,CHIKKAMAGALURU,836,1755,110
H,Chikkamagaluru,836,1548,85
H,Amble,938,1234,32
H,Aldur,1643,2038,24
H,Sangmeswrpet,2339,2230,-5
H,Lakya,1283,1275,-1
H,Avathi,1340,2017,50
H,Jagar,909,2003,120
H,Vasthare,1048,1641,57
T,Kadur,639,1075,68
H,Kadur,639,1163,82
H,Birur,677,1232,82
H,Hirenalluru,643,998,55
H,Sakkarepatna,813,1050,29
H,Shingatagere,630,1001,59
H,Yagati,632,968,53
H,Panchanahalli,594,1058,78
T,Koppa,2907,3013,4
H,Koppa,2907,2782,-4
H,Hariharpur,3046,3185,5
H,Meguda,3122,3058,-2
T,Mudigere,2315,3386,46
H,Mudigere,2315,2308,0
H,Bankal,4139,3326,-20
H,Gonibidu,2268,3492,54
H,Kalasa,3491,3691,6
H,Baluru,3866,3344,-13
T,NARASIMHARAJAPURA,1609,2183,36
H,Narasimharajapur,1609,1906,18
H,Balehonnur,2590,2509,-3
T,Sringeri,3887,3940,1
H,Sringeri,3887,3308,-15
H,Kigga,4377,4107,-6
T,Tarikere,914,1280,40
H,Tarikere,914,1167,28
H,Amrutapur,881,1091,24
H,Lakavalli,1256,1461,16
H,Lingadahalli,825,1338,62
T,Ajjampura,669,1060,59
H,Ajjampura,669,1054,58
H,Chowlahiriyur,607,1020,68
H,Shivani,575,1114,94
H,Amrutpura,698,910,30
H,Hirenalluru,645,1070,66
D,KODAGU,2729,2656,-3
T,Madikeri,3265,3522,8
H,Madikeri,3265,3206,-2
H,Bhagamandala,5784,4224,-27
H,Napoklu,2833,2842,0
H,Sampaje,4418,3556,-19
T,Somwarpet,2098,2150,2
H,Somwarpet,2098,1936,-8
H,Kodlipet,1613,1767,10
H,Kushalnagar,978,1492,52
H,Sanivarsante,1863,1721,-8
H,Santhahalli,2294,3357,46
H,Suntikoppa,1589,2265,43
T,Virajpet,2468,2210,-10
H,Virajpet,2468,2836,15
H,Ammati,1992,1851,-7
H,Blale,1798,1710,-5
H,Hudakere,2403,2617,9
H,Ponnampet,2267,2019,-11
H,Srimangala,2753,1925,-30
D,DAKSHINA KANNADA,4006,3963,-1
T,Beltangadi,4426,4427,0
H,Belthangady,4426,4383,-1
H,Kokkada,4261,4499,6
H,Venur,4117,4262,4
T,Bantwal,3856,3369,-13
H,Bantwal,3856,3559,-8
H,Pane Mangalore,3885,3361,-13
H,Vittal,3984,3153,-21
T,Mangaluru,3609,3486,-3
H,Mangaluru_A,3609,3382,-6
H,Mangaluru_B,3631,3366,-7
H,Gurpur,3801,3458,-9
H,Mulki,3788,3602,-5
H,Suratkal,3834,3422,-11
T,Puttur,4058,3592,-12
H,Puttur,4058,3609,-11
H,Uppinangadi,3939,3472,-12
T,Sulya,3592,3885,8
H,Sullia,3592,3741,4
H,Panaje,4015,4136,3
T,Mudabidri,4010,3873,-3
H,Mudbidri,4010,3824,-5
T,Kadaba,4135,4329,5
H,Kadaba,4135,4214,2
H,Panaje,4215,4027,-4
H,Uppinangadi,3495,4681,34
D,UDUPI,4535,4797,6
T,Karkala,4777,4736,-1
H,Karkala,4777,4474,-6
H,Ajekar,4755,5051,6
T,Kundapur,3786,4784,26
H,Kundapur,3786,4469,18
H,Vandse,4260,4838,14
T,Udupi,3862,4149,7
H,Udupi,3862,4031,4
H,Brahmavara,4333,4171,-4
T,Bynduru,4428,4865,10
H,Bainduru,4428,4811,9
T,Bramhavara,4043,4259,5
H,Brahmavara,4043,4237,5
H,Kota,3525,4120,17
T,Kapu,3757,4145,10
H,Kapu,3757,4079,9
T,Hebri,5802,6033,4
H,Ajekar,5802,6085,5
H,Kundapur,5073,5473,8
D,UTTARA KANNADA,2936,3346,14
T,Ankola,3532,4083,16
H,Ankola,3532,4152,18
H,Belikere,3517,3904,11
H,Basagod,3438,3823,11
H,Blale,3364,3994,19
T,Bhatkal,4322,4569,6
H,Susgadi,4322,4539,5
H,Mavalli,4071,4536,11
T,Haliyal,1339,1955,46
H,Haliyal,1339,1869,40
H,Murkvad,1061,1831,72
H,Sambrani,1260,2006,59
H,Dandeli,1371,2174,59
T,Honnavar,3728,4613,24
H,Honnavar,3728,4238,14
H,Manki,3668,4172,14
H,Mavinakurvei,3869,4958,28
T,Karwar,3234,4293,33
H,Baad,3234,3643,13
H,Ghadasaya,3611,4611,28
H,Kinnar,3448,3723,8
H,Savantvada,3329,4381,32
T,Kumta,3523,3503,-1
H,Kumta,3523,3494,-1
H,Gokarna,3243,3430,6
H,Kujahalli,3978,3563,-10
H,Mirjan,3526,3347,-5
T,Mundgod,1438,1675,17
H,Mundgod,1438,1488,3
H,Pala,1243,1904,53
T,SIDDAPUR,3016,3682,22
H,Umbalamani,4456,3390,-24
H,Siddapura,3016,3187,6
H,Kodkani,3371,4209,25
T,SIRSI,2360,3194,35
H,Sirsi,2360,2750,17
H,Banavasi,1511,2384,58
H,Hulekal,2174,3146,45
H,Sampakanda,4141,4152,0
T,SUPA,2578,3483,35
H,Supa,2578,2556,-1
H,Kasalrock,4658,4899,5
H,Kumbarawada,3073,3178,3
T,YELLAPUR,2668,2599,-3
H,Yellapur,2668,3030,14
H,Manchikeri,1989,2205,11
T,Dandelli,1540,2064,34
H,Dhandeli,1540,2053,33
D,YADGIR,719,669,-7
T,Shahapur,848,716,-16
H,Shahpur,848,701,-17
H,Doranahlli,816,830,2
H,Gogi,775,653,-16
H,Hayyalbuzurg,735,735,0
T,Shorapur,721,613,-15
H,Shorapur,721,674,-7
H,Kakkeri,576,626,9
H,Kembhavi,584,548,-6
T,Yadgir,908,761,-16
H,Yadgir,908,778,-14
H,Balichakra,773,469,-39
H,Hattikuni,854,821,-4
H,Saidapur,754,824,9
T,Gurumithakala,773,737,-5
H,Gurmitakal,773,831,7
H,Konakal,776,663,-15
H,Balichakra,763,660,-14
T,Vadagera,617,728,18
H,Wadagera,617,678,10
H,Doranahlli,715,809,13
H,Hayyala Buzurg,722,740,2
T,Hunisigi,501,492,-2
H,Hunasagi,501,506,1
H,Kodekal,622,481,-23
H,Kakkera,571,511,-11
D,VIJAYANAGAR,643,772,20
T,Hosapete,704,777,10
H,Hospet,704,881,25
H,Kamalapura,658,681,4
H,Mariyammanahalli,673,805,20
T,Hadagali,641,783,22
H,Hadagali,641,776,21
H,Hirehadagalli,652,833,28
H,Ittigi,667,741,11
T,HAGARIBOMMANAHALLI,635,772,22
H,Hagaribommanahalli,635,700,10
H,Hampa Sagara,617,653,6
H,Tambarahalli,628,856,36
H,Kogali,617,774,26
T,HARAPPANAHALLI,755,835,11
H,Harapanahalli,755,737,-2
H,Arasikere,656,1002,53
H,Chigateri,761,681,-11
H,Telagi,665,904,36
T,Kotturu,533,749,40
H,Kotturu,533,758,42
H,Kogali,641,635,-1
H,Hoshalli,560,819,46
T,Kampli,531,591,11
H,Kampli,531,602,13
H,Kurugodu,553,524,-5
,1.SIK,714,1050,47
,2.NIK,702,780,11
,3.MALNAD,1950,2100,8
,4.COASTAL,3518,3784,8
,State,1153,1337,16
