District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),%DEP
T,Madhugiri,730,864,18
H,Madhugiri,730,839,15
H,Dodderi,594,869,46
H,Itakadibbanahalli,616,860,40
H,Kodigenahalli,632,865,37
H,Midigesi,553,880,59
H,Puravara,674,879,31
T,Pavagada,611,821,34
H,Pavagada,611,781,28
H,Nagalamadike,588,804,37
H,Nidagal,518,897,73
H,"Yellappanayakana
Hosakote",532,817,54
T,Sira,638,740,16
H,Sira,638,808,27
H,Bukkaptna,579,692,20
H,Gowdagere,581,736,27
H,Hulikunta,506,761,51
H,Kallambella,606,689,14
T,Tiptur,731,886,21
H,Tiptur,731,884,21
H,Honnavalli,705,844,20
H,Kibbanahalli,607,947,56
H,Nonavinakere,720,887,23
T,Tumakuru,830,916,10
H,Tumakuru North,830,883,6
H,Bellavi,788,878,11
H,Guluru,869,998,15
H,Hebbur,678,992,46
H,Uradigere,682,902,32
H,Kora,788,863,9
H,Tumakuru East,844,771,-9
H,Tumakuru West,839,796,-5
H,Tumakuru South,846,916,8
T,Turuvekere,772,855,11
H,Turuvekere,772,882,14
H,Dabbegatta,605,828,37
H,Dandinasivara,707,853,21
H,Mayasandra,657,852,30
D,CHITRADURGA,540,769,42
T,Challakere,485,737,52
H,Challakere,485,783,62
H,Nayakanahatti,428,651,52
H,Parasurampura,410,819,100
H,Thalku,392,680,73
T,Chitradurga,666,906,36
H,Chitradurga,666,905,36
H,Bharmasagara,601,990,65
H,Hire Guntanur,576,829,44
H,Turuvanur,581,877,51
T,Hiriyur,578,675,17
H,Hiriyur,578,629,9
H,Aymangala,517,692,34
H,Dharmapura,481,724,51
H,Javanagondanahalli,562,639,14
T,Holalkere,722,811,12
H,Holalkere,722,795,10
H,Bharmanaikanadurga,648,849,31
H,Ramagiri,535,766,43
H,Talya,650,830,28
T,Hosadurga,648,770,19
H,Hosadurga,648,698,8
H,Madadhakeri,573,798,39
H,Mathodu,580,791,36
H,Srirampura,564,807,43
H,Mayasandra,657,852,30
H,CHITRADURGA,540,769,42
H,Challakere,485,737,52
H,Challakere,485,783,62
H,Nayakanahatti,428,651,52
H,Parasurampura,410,819,100
H,Thalku,392,680,73
H,Chitradurga,666,906,36
H,Chitradurga,666,905,36
H,Bharmasagara,601,990,65
H,Hire Guntanur,576,829,44
H,Turuvanur,581,877,51
H,Hiriyur,578,675,17
H,Hiriyur,578,629,9
H,Aymangala,517,692,34
H,Dharmapura,481,724,51
H,Javanagondanahalli,562,639,14
H,Holalkere,722,811,12
H,Holalkere,722,795,10
H,Bharmanaikanadurga,648,849,31
H,Ramagiri,535,766,43
H,Talya,650,830,28
H,Hosadurga,648,770,19
H,Hosadurga,648,698,8
H,Madadhakeri,573,798,39
H,Mathodu,580,791,36
H,Srirampura,564,807,43
T,Molakalmuru,545,753,38
H,Molakalmuru,545,692,27
H,Devasamudra,400,821,105
D,DAVANAGERE,659,826,25
T,Channagiri,840,832,-1
H,Channagiri,840,847,1
H,Basavapatna_1,703,816,16
H,Basavapatna_2,682,806,18
H,Santebannur_1,710,855,20
H,Santebannur_2,741,783,6
H,Ubrani,752,843,12
T,Davanagere,641,907,41
H,Davangere,641,804,25
H,Anogodu,599,918,53
H,Mayakonda,639,1013,59
T,Harihara,630,674,7
H,Harihara,630,612,-3
H,Malebennur,586,724,23
T,Honnali,662,824,25
H,Honnali,662,816,23
H,Govinakovi_2,667,715,7
H,Sasavehalli_1,719,857,19
H,Sasavehalli_2,640,871,36
T,Jagalur,528,778,47
H,Jagalur,528,744,41
H,Bilichodu,504,790,57
H,Sokke,574,807,40
T,Nyamati,826,919,11
H,Belagutti,826,927,12
H,Govinakovi_1,710,895,26
D,CHAMARAJANAGARA,787,885,13
T,Chamarajanagara,770,852,11
H,Chamarajanagara,770,895,16
H,Chandakavadi,793,892,12
H,Haradanhalli,774,764,-1
H,Harve,752,767,2
H,Santemarahalli,838,927,11
T,Gundlupet,792,788,-1
H,Gundlupet,792,718,-9
H,Begur,648,645,-1
H,Terakanambi,766,727,-5
H,Hangala,784,880,12
T,Kollegal,843,961,14
H,Kollegala,843,1029,22
H,Palya,802,926,15
T,Yelandur,867,1001,15
H,Yelandur,867,959,11
H,Agara,771,1021,32
T,Hanur,754,933,24
H,Hanur,754,972,29
H,Lokkanahalli,781,915,17
H,Ramapura,811,924,14
D,MYSURU,837,822,-2
T,Heggadadevanakote,837,838,0
H,Heggadadevanakote,837,895,7
H,Antarasante,1031,799,-23
H,Hampapura,764,805,5
T,Hunsur,799,872,9
H,Hunsur,799,858,7
H,Bilikere,764,861,13
H,Gowdargyare,767,768,0
H,Hanagoadu,976,932,-5
T,Krishnarajanagar,735,708,-4
H,Krishnarajanagar,735,904,23
H,Chanachanakatte,698,607,-13
H,Hebbalu,721,755,5
H,Hasa Agrahar,682,723,6
H,Mirale,690,636,-8
H,Saligram,662,635,-4
T,Mysuru,810,912,13
H,Mysuru,810,909,12
H,Elivala,757,918,21
H,Jayapura,774,892,15
H,Varuna,738,933,26
T,Nanjanagud,730,774,6
H,Nanjangud,730,743,2
H,Biligere,726,873,20
H,Chikkayyana Chattra,732,873,19
H,Hullahalli,788,671,-15
H,Doddakowlande,731,832,14
T,Periyapatna,852,799,-6
H,Periyapatna,852,854,0
H,Bettadpur,770,782,2
H,Haranahalli,957,799,-17
H,Ravanduru,810,739,-9
T,T.Narasipura,738,916,24
H,T.Narasipur,738,962,30
H,Bannur,721,862,20
H,Muguru,781,897,15
H,Sosale,738,907,23
H,Talakad,777,957,23
T,Saraguru,949,730,-23
H,Saraguru,949,727,-23
H,B.Matakere,937,733,-22
D,MANDYA,699,820,17
T,Krishnarajapet,747,733,-2
H,Krishnarajapet,747,746,0
H,Akkihebalu,699,682,-2
H,Bukanakere,700,821,17
H,Kikkeri,719,580,-19
H,Santebachahalli,652,816,25
H,Silanare,698,733,5
T,Maddur,767,854,11
H,Madduru_2,767,916,19
H,Koppa_2,883,803,-9
H,Chikkaarasinakere_1,753,926,23
H,Autaguru,779,831,7
H,Madduru_1,758,885,17
H,Koppa_2,739,908,23
H,Koppa_1,832,732,-12
H,Koppa_3,769,871,13
H,Chikaarasinakere_2,742,883,19
H,Chikaarasinakere_3,734,762,4
T,Malavalli,703,846,20
H,Malavalli_1,703,744,6
H,Halaguru,799,881,10
H,Kirgavalu_1,719,854,19
H,B G Pura_2,778,911,17
H,Malavalli_2,748,857,15
H,Malavalli_3,772,897,16
H,Kirgavalu_2,721,749,4
H,Kirgavalu_3,719,802,12
H,B G Pura_1,773,794,3
T,Mandya,699,783,12
H,Mandya_1,699,869,24
H,Basaralu_1,610,644,6
H,Dudda_1,649,771,19
H,Keragodu_1,735,753,2
H,Kottatti_1,697,867,24
H,Mandya_2,737,880,19
H,Kottatti_2,709,887,25
H,Keragodu_2,747,688,-8
H,Dudda_2,681,871,28
H,Basaralu_2,796,693,-13
T,Nagamangala,765,832,9
H,Nagamangala,765,819,7
H,Belluru,520,978,88
