District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),%DEP
H,Kundur,1136,941,-17
H,Palya,1581,1160,-27
T,Arkalgud,885,792,-11
H,Arkalgud,885,741,-16
H,Doddamagge,899,712,-21
H,Konanuru,797,882,11
H,Mallipatna,1246,913,-27
H,Ramanathapura,830,717,-14
T,Arasikere,696,749,8
H,Arasikere,696,750,8
H,Banavara,564,822,46
H,Gandasi,661,782,18
H,Javagal,934,664,-29
H,Kanakatte,595,740,24
T,Belur,1021,1160,14
H,Belur,1021,1125,10
H,Arehalli,1790,1712,-4
H,Bikkodu,1213,1233,2
H,Halebeedu,1305,815,-38
H,Madihalli,2378,980,-59
T,Channarayapatna,690,800,16
H,Channarayapatna,690,643,-7
H,Baguru,779,852,9
H,Dandiganahalli,692,716,3
H,Hirisave,768,922,20
H,Nuggehalli,669,874,31
H,Shravan Belgola,733,761,4
T,Hassan,846,824,-3
H,Hassan,846,858,1
H,Dudda,652,791,21
H,Kattya,693,845,22
H,Salagame,816,824,1
H,Shantigrama,661,820,24
T,Holenarasipura,768,653,-15
H,Holenarasipur,768,685,-11
H,Halekote,778,719,-8
H,Halli Mysore,767,590,-23
T,Sakaleshpura,2247,2902,29
H,Sakaleshpur,2247,2473,10
H,Balegodu,1790,1608,-10
H,Hanbalu,2377,3367,42
H,Hettur,2218,3500,58
H,Yaslur,1783,2463,38
D,CHIKKAMAGALURU,1833,1753,-4
T,Chikkamagaluru,836,1472,76
H,Chikkamagaluru,836,1163,39
H,Amble,938,1048,12
H,Aldur,1643,1811,10
H,Sangmeswrpet,2339,1919,-18
H,Lakya,1283,919,-28
H,Avathi,1340,1734,29
H,Jagar,909,1739,91
H,Vasthare,1048,1574,50
T,Kadur,639,712,11
H,Kadur,639,703,10
H,Birur,677,657,-3
H,Hirenalluru,643,590,-8
H,Sakkarepatna,813,720,-11
H,Shingatagere,630,828,31
H,Yagati,632,706,12
H,Panchanahalli,594,833,40
T,Koppa,2907,2767,-5
H,Koppa,2907,2624,-10
H,Hariharpur,3046,3042,0
H,Meguda,3122,2721,-13
T,Mudigere,2315,3066,32
H,Mudigere,2315,2452,6
H,Bankal,4139,3180,-23
H,Gonibidu,2268,2950,30
H,Kalasa,3491,3263,-7
H,Baluru,3866,3010,-22
T,Narasimharajapura,1609,1716,7
H,Narasimharajapur,1609,1519,-6
H,Balehonnur,2590,1959,-24
T,Sringeri,3887,3826,-2
H,Sringeri,3887,3270,-16
H,Kigga,4377,4006,-8
T,Tarikere,914,990,8
H,Tarikere,914,881,-4
H,Amrutapur,881,964,9
H,Lakavalli,1256,1086,-13
H,Lingadahalli,825,988,20
T,Ajjampura,669,748,12
H,Ajjampura,669,732,9
H,Chowlahiriyur,607,647,7
H,Shivani,575,823,43
H,Amrutpura,698,946,36
H,Hirenalluru,645,641,-1
D,KODAGU,2729,2541,-7
T,Madikeri,3265,3488,7
H,Madikeri,3265,2857,-13
H,Bhagamandala,5784,4242,-27
H,Napoklu,2833,3224,14
H,Sampaje,4418,3360,-24
T,Somwarpet,2098,1784,-15
H,Somwarpet,2098,1626,-23
H,Kodlipet,1613,1396,-13
H,Kushalnagar,978,1198,22
H,Sanivarsante,1863,1326,-29
H,Santhahalli,2294,2909,27
H,Suntikoppa,1589,1944,22
T,Virajpet,2468,2177,-12
H,Virajpet,2468,2915,18
H,Ammati,1992,1631,-18
H,Blale,1798,1674,-7
H,Hudakere,2403,2986,24
H,Ponnampet,2267,1794,-21
H,Srimangala,2753,1902,-31
D,DAKSHINA KANNADA,4006,3917,-2
T,Beltangadi,4426,4260,-4
H,Belthangady,4426,4255,-4
H,Kokkada,4261,4115,-3
H,Venur,4117,4534,10
T,Bantwal,3856,3568,-7
H,Bantwal,3856,3670,-5
H,Pane Mangalore,3885,3574,-8
H,Vittal,3984,3474,-13
T,Mangaluru,3609,4009,11
H,Mangaluru_A,3609,3645,1
H,Mangaluru_B,3631,3704,2
H,Gurpur,3801,4045,6
H,Mulki,3788,4326,14
H,Suratkal,3834,4119,7
T,Puttur,4058,3429,-16
H,Puttur,4058,3408,-16
H,Uppinangadi,3939,3495,-11
T,Sulya,3592,3734,4
H,Sullia,3592,3718,3
H,Panaje,4015,3771,-6
T,Mudabidri,4010,4342,8
H,Mudbidri,4010,4342,8
T,Kadaba,4135,3840,-7
H,Kadaba,4135,3675,-11
H,Panaje,4215,3884,-8
H,Uppinangadi,3495,4135,18
D,UDUPI,4535,5159,14
T,Karkala,4777,5107,7
H,Karkala,4777,4919,3
H,Ajekar,4755,5454,15
T,Kundapur,3786,5136,36
H,Kundapur,3786,5025,33
H,Vandse,4260,5194,22
T,Udupi,3862,5098,32
H,Udupi,3862,5146,33
H,Brahmavara,4333,4995,15
T,Bynduru,4428,5625,27
H,Bainduru,4428,5625,27
T,Bramhavara,4043,4958,23
H,Brahmavara,4043,4844,20
H,Kota,3525,5076,44
T,Kapu,3757,5246,40
H,Kapu,3757,5246,40
T,Hebri,5802,4876,-16
H,Ajekar,5802,4822,-17
H,Kundapur,5073,5061,0
D,UTTARA KANNADA,2936,3538,20
T,Ankola,3532,5123,45
H,Ankola,3532,5004,42
H,Belikere,3517,5215,48
H,Basagod,3438,5520,61
H,Blale,3364,5133,53
T,Bhatkal,4322,5255,22
H,Susgadi,4322,5435,26
H,Mavalli,4071,5036,24
T,Haliyal,1339,1541,15
H,Haliyal,1339,1737,30
H,Murkvad,1061,1526,44
H,Sambrani,1260,1422,13
H,Dandeli,1371,1881,37
T,Honnavar,3728,5279,42
H,Honnavar,3728,5666,52
H,Manki,3668,5092,39
H,Mavinakurvei,3869,5178,34
T,Karwar,3234,5010,55
H,Baad,3234,5187,60
H,Ghadasaya,3611,4872,35
H,Kinnar,3448,5087,48
H,Savantvada,3329,5227,57
T,Kumta,3523,4847,38
H,Kumta,3523,5086,44
H,Gokarna,3243,4962,53
H,Kujahalli,3978,4603,16
H,Mirjan,3526,4977,41
T,Mundgod,1438,1561,9
H,Mundgod,1438,1655,15
H,Pala,1243,1432,15
T,Siddapur,3016,3681,22
H,Umbalamani,4456,3657,-18
H,Siddapura,3016,3047,1
H,Kodkani,3371,4129,22
T,Sirsi,2360,3256,38
H,Sirsi,2360,2713,15
H,Banavasi,1511,2206,46
H,Hulekal,2174,3175,46
H,Sampakanda,4141,4538,10
T,Supa,2578,3063,19
H,Supa,2578,2212,-14
H,Kasalrock,4658,3811,-18
H,Kumbarawada,3073,3195,4
T,Yellapur,2668,2718,2
H,Yellapur,2668,3325,25
H,Manchikeri,1989,2192,10
T,Dandelli,1540,1750,14
H,Dhandeli,1540,1750,14
D,YADGIR,719,925,29
T,Shahapur,848,923,9
H,Shahpur,848,947,12
H,Doranahlli,816,940,15
H,Gogi,775,868,12
H,Hayyalbuzurg,735,1019,39
T,Shorapur,721,826,15
H,Shorapur,721,841,17
H,Kakkeri,576,853,48
H,Kembhavi,584,795,36
T,Yadgir,908,1057,16
H,Yadgir,908,1089,20
H,Balichakra,773,1004,30
H,Hattikuni,854,1040,22
H,Saidapur,754,1083,44
T,Gurumithakala,773,1048,36
H,Gurmitakal,773,1146,48
H,Konakal,776,993,28
H,Balichakra,763,971,27
T,Vadagera,617,1000,62
H,Wadagera,617,941,53
H,Doranahlli,715,1061,48
H,Hayyala Buzurg,722,1064,47
T,Hunisigi,501,718,43
H,Hunasagi,501,703,41
H,Kodekal,622,735,18
H,Kakkera,571,686,20
